Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument
540767,NIPPON LIFE INDIA ASSET MANAGEMENT LIMITED,NAM-INDIA,Nippon Life India Asset Management Ltd,Active,A ,10.00,INE298J01013,Asset Management Cos.,Equity,
540768,Mahindra Logistics Limited,MAHLOG,Mahindra Logistics Ltd,Active,A ,10.00,INE766P01016,Transportation - Logistics,Equity,
540769,The New India Assurance Company Limited,NIACL,The New India Assurance Company Ltd,Active,A ,5.00,INE470Y01017,General Insurance,Equity,
540774,IFGL Refractories Limited,IFGLEXPOR,IFGL Refractories Ltd,Active,B ,10.00,INE133Y01011,Other Industrial Goods,Equity,
540775,Khadim India Limited,KHADIM,Khadim India Ltd,Active,B ,10.00,INE834I01025,Footwear,Equity,
540776,5paisa Capital Limited,5PAISA,5paisa Capital Ltd,Active,B ,10.00,INE618L01018,Other Financial Services,Equity,
540777,HDFC LIFE INSURANCE COMPANY LIMITED,HDFCLIFE,HDFC Life Insurance Company Ltd,Active,A ,10.00,INE795G01014,Life Insurance,Equity,
540778,Nippon India Mutual Fund,NIVBDDP,NIPPON INDIA MUTUAL FUND  CAPITAL BUILDER FD SR B DR DVP 06JN21,Active,B ,10.00,INF204KB12Y3,-,Equity,
540779,Nippon India Mutual Fund,NIVBDGP,NIPPON INDIA MUTUAL FUND  CAPITAL BUILDER FD SR B DR GWTH 06JN21,Active,B ,10.00,INF204KB11Y5,-,Equity,
540780,Nippon India Mutual Fund,NIVBDP,NIPPON INDIA MUTUAL FUND  CAPITAL BUILDER FD SR B RG DVP 06JN21,Active,B ,10.00,INF204KB10Y7,-,Equity,
540781,Nippon India Mutual Fund,NIVBGP,NIPPON INDIA MUTUAL FUND  CAPITAL BUILDER FD SR B RG GWTH 06JN21,Active,B ,10.00,INF204KB19X0,-,Equity,
540782,Sanghvi Brands Limited,SBRANDS,Sanghvi Brands Ltd,Active,M ,10.00,INE204Y01010,Hotels,Equity,
540786,SHARIKA ENTERPRISES LIMITED,SHARIKA,Sharika Enterprises Ltd,Active,B ,10.00,INE669Y01014,Other Elect.Equip./ Prod.,Equity,
540787,ICICI Prudential Mutual Fund,ICICIB22,BHARAT 22 ETF - ICICI Prudential AMC,Active,B ,10.00,INF109KB15Y7,-,Equity,
540788,Aspira Pathlab & Diagnostics Limited,ASPIRA,Aspira Pathlab & Diagnostics Ltd,Active,X ,10.00,INE500C01017,Healthcare Services,Equity,
540789,Diligent Media Corporation Limited,DNAMEDIA,Diligent Media Corporation Ltd,Active,B ,1.00,INE016M01021,Advertising & Media,Equity,
540795,Dynamic Cables Limited,DYNAMIC,Dynamic Cables Ltd,Active,B ,10.00,INE600Y01019,Other Elect.Equip./ Prod.,Equity,
540796,Ratnabhumi Developers Limited,RATNABHUMI,Ratnabhumi Developers Ltd,Active,B ,10.00,INE821Y01011,Realty,Equity,
540797,Shalby Limited,SHALBY,Shalby Ltd,Active,B ,10.00,INE597J01018,Healthcare Facilities,Equity,
540798,Future Supply Chain Solutions Limited,FSC,Future Supply Chain Solutions Ltd,Active,T ,10.00,INE935Q01015,Transportation - Logistics,Equity,
540809,MRC Exim Limited,MRCEXIM,MRC Exim Ltd,Active,M ,10.00,INE333Y01017,Comm.Trading  & Distribution,Equity,
540811,Diggi Multitrade Limited,DML,Diggi Multitrade Ltd,Active,M ,10.00,INE158R01012,Comm.Trading  & Distribution,Equity,
540821,SADHNA BROADCAST LTD,SADHNA,Sadhna Broadcast Ltd,Active,X ,10.00,INE994R01010,Broadcasting & Cable TV,Equity,
540823,Vitesse Agro Limited,VITESSE,Vitesse Agro Ltd,Active,XT,10.00,INE550U01014,Comm.Trading  & Distribution,Equity,
540824,Astron Paper & Board Mill Limited,ASTRON,Astron Paper & Board Mill Ltd,Active,B ,10.00,INE646X01014,Paper & Paper Products,Equity,
540829,Chandrima Mercantiles limited ,CHANDRIMA,Chandrima Mercantiles Ltd,Active,XT,10.00,INE371F01016,Comm.Trading  & Distribution,Equity,
540843,Rithwik Facility Management Services Limited,RITHWIKFMS,Rithwik Facility Management Services Ltd,Active,M ,10.00,INE819Y01015,Sp.Consumer Services,Equity,
540850,Jhandewalas Foods Limited,JFL,Jhandewalas Foods Ltd,Active,M ,10.00,INE841Y01019,Packaged Foods,Equity,
540874,7SEAS ENTERTAINMENT LIMITED,7SEASL,7Seas Entertainment Ltd,Active,XT,10.00,INE454F01010,Movies & Entertainment,Equity,
540879,Apollo Micro Systems Limited,APOLLO,Apollo Micro Systems Ltd,Active,B ,10.00,INE713T01010,Defence,Equity,
540900,Newgen Software Technologies Limited,NEWGEN,Newgen Software Technologies Ltd,Active,T ,10.00,INE619B01017,IT Consulting & Software,Equity,
540901,Praxis Home Retail Limited ,PRAXIS,Praxis Home Retail Ltd,Active,B ,5.00,INE546Y01022,Specialty Retail,Equity,
540902,Amber Enterprises India Limited,AMBER,Amber Enterprises India Ltd,Active,A ,10.00,INE371P01015,Consumer Electronics,Equity,
540904,TIRUPATI FOAM LIMITED,TIRUFOAM,Tirupati Foam Ltd,Active,X ,10.00,INE115G01015,Furniture-Furnishing-Paints,Equity,
540914,SRU Steels Limited,SRUSTEELS,SRU Steels Ltd,Active,XT,10.00,INE425C01017,Comm.Trading  & Distribution,Equity,
540923,Ashoka Metcast Limited,AML,Ashoka Metcast Ltd,Active,M ,10.00,INE760Y01011,Construction & Engineering,Equity,
540935,Galaxy Surfactants Limited,GALAXYSURF,Galaxy Surfactants Ltd,Active,A ,10.00,INE600K01018,Specialty Chemicals,Equity,
540936,Gautam Gems Limited,GGL,Gautam Gems Ltd,Active,B ,10.00,INE063Z01017,Comm.Trading  & Distribution,Equity,
540937,MEDICO REMEDIES LIMITED,MEDICO,Medico Remedies Ltd,Active,M ,10.00,INE630Y01016,Pharmaceuticals,Equity,
540938,Gujarat Hy-Spin Limited,GUJHYSPIN,Gujarat Hy-Spin Ltd,Active,M ,10.00,INE578V01013,Textiles,Equity,
540947,ICICI Prudential Mutual Fund,IPRU3034,ICICI Prudential Value Fund - Series 20 - Cumulative Option,Active,B ,10.00,INF109KC1333,-,Equity,
540949,ICICI Prudential Mutual Fund,IPRU3035,ICICI Prudential Value Fund - Series 20 - Dividend Option,Active,B ,10.00,INF109KC1341,-,Equity,
540950,ICICI Prudential Mutual Fund,IPRU9236,ICICI Prudential Value Fund - Series 20 - Direct Plan Cumulative Option,Active,B ,10.00,INF109KC1358,-,Equity,
540951,ICICI Prudential Mutual Fund,IPRU9237,ICICI Prudential Value Fund - Series 20 - Direct Plan Dividend Option,Active,B ,10.00,INF109KC1366,-,Equity,
540952,LORENZINI APPARELS LIMITED,LAL,Lorenzini Apparels Ltd,Active,M ,10.00,INE740X01015,Other Apparels & Accessories,Equity,
540953,Kenvi Jewels Limited,KENVI,Kenvi Jewels Ltd,Active,M ,10.00,INE923Y01015,Other Apparels & Accessories,Equity,
540954,The Indian Wood Products Co. Ltd.,IWP,The Indian Wood Products Company Ltd,Active,X ,2.00,INE586E01020,Forest Products,Equity,
540955,Tasty Dairy Specialities Limited,TDSL,Tasty Dairy Specialities Ltd,Active,B ,10.00,INE773Y01014,Packaged Foods,Equity,
540956,Bhatia Communications & Retail (India) Limited,BHATIA,Bhatia Communications & Retail (India) Ltd,Active,T ,10.00,INE341Z01017,Specialty Retail,Equity,
540961,Shiva Mills Limited,SHIVAMILLS,Shiva Mills Ltd,Active,B ,10.00,INE644Y01017,Textiles,Equity,
540975,Aster DM Healthcare Limited,ASTERDM,Aster DM Healthcare Ltd,Active,A ,10.00,INE914M01019,Healthcare Services,Equity,
540980,The Yamuna Syndicate Ltd ,YSL,The Yamuna Syndicate Ltd,Active,XT,100.00,INE868X01014,Comm.Trading  & Distribution,Equity,
540981,Kotak Mahindra Mutual Fund,KTINDF4RG,Kotak India Growth Fund   Series 4 - Regular Plan Growth Option,Active,B ,10.00,INF174KA1GD3,-,Equity,
540982,Kotak Mahindra Mutual Fund,KTINDF4RD,Kotak India Growth Fund   Series 4 - Regular Plan Dividend Option,Active,B ,10.00,INF174KA1GE1,-,Equity,
540983,Kotak Mahindra Mutual Fund,KTINDF4DG,KOTAK INDIA GROWTH FUND SERIES 4 DIRECT PLAN DIVIDEND OPTION,Active,B ,10.00,INF174KA1GG6,-,Equity,
540984,Kotak Mahindra Mutual Fund,KTINDF4DD,Kotak India Growth Fund   Series 4 - Direct Plan Growth Option,Active,B ,10.00,INF174KA1GF8,-,Equity,
541005,KANCO TEA & INDUSTRIES LIMITED,KANCOTEA,Kanco Tea & Industries Ltd,Active,X ,10.00,INE398L01017,Tea & Coffee,Equity,
541006,Angel Fibers Limited,ANGEL,Angel Fibers Ltd,Active,M ,10.00,INE339Z01011,Textiles,Equity,
541019,H.G. Infra Engineering Limited,HGINFRA,H.G. Infra Engineering Ltd,Active,A ,10.00,INE926X01010,Construction & Engineering,Equity,
541053,East India Securities Limited,EIS,East India Securities Ltd,Active,M ,10.00,INE482Z01019,Other Financial Services,Equity,
541068,Axis Mutual Fund,AXISCBD1D,Axis Capital Builder Fund - Series 1 (1540 Days) - Direct Plan  - Dividend Payout,Active,B ,10.00,INF846K01B77,-,Equity,
541069,Axis Mutual Fund,AXISCBDGG,Axis Capital Builder Fund - Series 1 (1540 Days) - Direct Plan  - Growth,Active,B ,10.00,INF846K01B69,-,Equity,
541070,Axis Mutual Fund,AXISCBDPD,Axis Capital Builder Fund - Series 1 (1540 Days) - Regular Plan  - Dividend Payout,Active,B ,10.00,INF846K01B93,-,Equity,
541071,Axis Mutual Fund,AXISCBGPG,Axis Capital Builder Fund - Series 1 (1540 Days) - Regular Plan  - Growth,Active,B ,10.00,INF846K01B85,-,Equity,
541083,Inflame Appliances Limited,INFLAME,Inflame Appliances Ltd,Active,M ,10.00,INE464Z01017,Houseware,Equity,
541092,Aditya Birla Sun Life Mutual Fund,ABSLRIF6RG,ADITYA BIRLA SUN LIFE RESURGENT INDIA FUND - SERIES 6- REGULAR PLAN- GROWTH,Active,B ,10.00,INF209KB1LL4,-,Equity,
541093,Aditya Birla Sun Life Mutual Fund,ABSLRIF6RD,ADITYA BIRLA SUN LIFE RESURGENT INDIA FUND - SERIES 6- REGULAR PLAN- DIVIDEND PAYOUT,Active,B ,10.00,INF209KB1LM2,-,Equity,
541094,Aditya Birla Sun Life Mutual Fund,ABSLRIF6DG,ADITYA BIRLA SUN LIFE RESURGENT INDIA FUND - SERIES 6- DIRECT PLAN- GROWTH,Active,B ,10.00,INF209KB1LN0,-,Equity,
541095,Aditya Birla Sun Life Mutual Fund,ABSLRIF6DD,ADITYA BIRLA SUN LIFE RESURGENT INDIA FUND - SERIES 6- DIRECT PLAN- DIVIDEND PAYOUT,Active,B ,10.00,INF209KB1LO8,-,Equity,
541096,Bharat Parenterals Limited,BPLPHARMA,Bharat Parenterals Ltd,Active,XT,10.00,INE365Y01019,Pharmaceuticals,Equity,
541112,Shreeshay Engineers Limited,SHREESHAY,Shreeshay Engineers Ltd,Active,M ,10.00,INE452Z01012,Construction & Engineering,Equity,
541133,APEX CAPITAL AND FINANCE LIMITED,ACFL,Apex Capital And Finance Ltd,Active,XT,10.00,INE758W01019,Finance (including NBFCs),Equity,
541143,Bharat Dynamics Limited,BDL,Bharat Dynamics Ltd,Active,A ,10.00,INE171Z01018,Defence,Equity,
541144,Active Clothing Co  Limited,ACTIVE,Active Clothing Co Ltd,Active,M ,10.00,INE380Z01015,Other Apparels & Accessories,Equity,
541151,Ridings Consulting Engineers India Limited,RIDINGS,Ridings Consulting Engineers India Ltd,Active,M ,10.00,INE314Z01014,Consulting Services,Equity,
541152,Advitiya Trade India Limited,ADVITIYA,Advitiya Trade India Ltd,Active,M ,10.00,INE705X01018,Comm.Trading  & Distribution,Equity,
541153,Bandhan Bank Limited,BANDHANBNK,Bandhan Bank Ltd,Active,A ,10.00,INE545U01014,Banks,Equity,
541154,Hindustan Aeronautics Limited,HAL,Hindustan Aeronautics Ltd,Active,A ,10.00,INE066F01012,Aerospace,Equity,
541161,Karda Constructions Limited,KARDA,Karda Constructions Ltd,Active,T ,2.00,INE278R01026,Realty,Equity,
541163,Sandhar Technologies Limited,SANDHAR,Sandhar Technologies Ltd,Active,B ,10.00,INE278H01035,Auto Parts & Equipment,Equity,
541167,YASHO INDUSTRIES LIMITED,YASHO,Yasho Industries Ltd,Active,T ,10.00,INE616Z01012,Specialty Chemicals,Equity,
541178,Benara Bearings and Pistons Limited,BENARA,Benara Bearings and Pistons Ltd,Active,M ,10.00,INE495Z01011,Other Industrial Goods,Equity,
541179,ICICI Securities Limited,ISEC,ICICI Securities Ltd,Active,A ,5.00,INE763G01038,Other Financial Services,Equity,
541195,Mishra Dhatu Nigam Limited,MIDHANI,Mishra Dhatu Nigam Ltd,Active,A ,10.00,INE099Z01011,Iron & Steel Products,Equity,
541196,Lex Nimble Solutions Limited,LEX,Lex Nimble Solutions Ltd,Active,M ,10.00,INE860Y01019,Consulting Services,Equity,
541206,Orissa Bengal Carrier Limited,OBCL,Orissa Bengal Carrier Ltd,Active,M ,10.00,INE426Z01016,Transportation - Logistics,Equity,
541228,Taylormade Renewables Limited,TRL,Taylormade Renewables Ltd,Active,M ,10.00,INE459Z01017,Industrial Machinery,Equity,
541233,Lemon Tree Hotels Limited,LEMONTREE,Lemon Tree Hotels Ltd,Active,A ,10.00,INE970X01018,Hotels,Equity,
541252,Aditya Birla Sun Life Mutual Fund,ABSLRIF7RG,Aditya Birla Sun Life Resurgent India Fund - Series 7 - Regular Plan - Growth Option,Active,B ,10.00,INF209KB1NP1,-,Equity,
541253,Aditya Birla Sun Life Mutual Fund,ABSLRIF7RD,Aditya Birla Sun Life Resurgent India Fund - Series 7 - Regular Plan - Dividend Payout,Active,B ,10.00,INF209KB1NQ9,-,Equity,
541254,Aditya Birla Sun Life Mutual Fund,ABSLRIF7DG,Aditya Birla Sun Life Resurgent India Fund - Series 7 - Direct Plan - Growth Option,Active,B ,10.00,INF209KB1NR7,-,Equity,
541255,Aditya Birla Sun Life Mutual Fund,ABSLRIF7DD,Aditya Birla Sun Life Resurgent India Fund - Series 7 - Direct Plan - Dividend Payout,Active,B ,10.00,INF209KB1NS5,-,Equity,
541269,Chemfab Alkalis Ltd,CHEMFABALKA,Chemfab Alkalis Ltd,Active,B ,10.00,INE783X01023,Commodity Chemicals,Equity,
541276,HARDWYN INDIA LIMITED,HARDWYN,Hardwyn India Ltd,Active,M ,10.00,INE626Z01011,Comm.Trading  & Distribution,Equity,
541299,DR LALCHANDANI LABS LIMITED,DLCL,Dr Lalchandani Labs Ltd,Active,M ,10.00,INE871Z01013,Healthcare Services,Equity,
541301,Orient Electric Limited,ORIENTELEC,Orient Electric Ltd,Active,A ,1.00,INE142Z01019,Consumer Electronics,Equity,
541302,Dhruv Consultancy Services Limited,DHRUV,Dhruv Consultancy Services Ltd,Active,M ,10.00,INE506Z01015,Construction & Engineering,Equity,
541303,Akshar Spintex Limited,AKSHAR,Akshar Spintex Ltd,Active,M ,10.00,INE256Z01017,Textiles,Equity,
541304,Indo US Bio-Tech Limited,INDOUS,Indo Us Bio-Tech Ltd,Active,M ,10.00,INE250Z01010,Other Agricultural Products,Equity,
541309,ICICI Prudential Mutual Fund,IPRU3095,ICICI Prudential Bharat Consumption Fund - Series 2 - Cumulative Option,Active,B ,10.00,INF109KC1CV2,-,Equity,
541310,ICICI Prudential Mutual Fund,IPRU3096,ICICI Prudential Bharat Consumption Fund - Series 2 - Dividend Option,Active,B ,10.00,INF109KC1CW0,-,Equity,
541311,ICICI Prudential Mutual Fund,IPRU9297,ICICI Prudential Bharat Consumption Fund - Series 2 - Direct Plan Cumulative Option,Active,B ,10.00,INF109KC1CX8,-,Equity,
541312,ICICI Prudential Mutual Fund,IPRU9298,ICICI Prudential Bharat Consumption Fund - Series 2 - Direct Plan Dividend Option,Active,B ,10.00,INF109KC1CY6,-,Equity,
541313,ICICI Prudential Mutual Fund,ICICI500,ICICI Prudential S&P BSE 500 ETF,Active,B ,10.00,INF109KC1CZ3,-,Equity,
541336,IndoStar Capital Finance Limited,INDOSTAR,Indostar Capital Finance Ltd,Active,A ,10.00,INE896L01010,Finance (including NBFCs),Equity,
541337,Milestone Furniture Limited,MILEFUR,Milestone Furniture Ltd,Active,M ,10.00,INE424Z01011,Furniture-Furnishing-Paints,Equity,
541338,U. H. ZAVERI LIMITED,UHZAVERI,U. H. Zaveri Ltd,Active,M ,10.00,INE556Z01010,Other Apparels & Accessories,Equity,
541347,Parvati Sweetners and Power Ltd.,PARVATI,Parvati Sweetners and Power Ltd,Active,XT,5.00,INE295Z01015,Sugar,Equity,
541352,Megastar Foods Limited,MEGASTAR,Megastar Foods Ltd,Active,M ,10.00,INE00EM01016,Other Food Products,Equity,
541353,Innovators Facade Systems Limited,INNOVATORS,Innovators Facade Systems Ltd,Active,M ,10.00,INE870Z01015,Construction & Engineering,Equity,
541358,Shree Worstex Limited,SHWL,Shree Worstex Ltd,Active,XT,10.00,INE926R01012,Finance (including NBFCs),Equity,
541400,ZIM Laboratories Limited,ZIMLAB,Zim Laboratories Ltd,Active,X ,10.00,INE518E01015,Pharmaceuticals,Equity,
541402,Affordable Robotic & Automation Limited,AFFORDABLE,Affordable Robotic & Automation Ltd,Active,M ,10.00,INE692Z01013,Industrial Machinery,Equity,
541403,Dollar Industries Limited,DOLLAR,Dollar Industries Ltd,Active,A ,2.00,INE325C01035,Other Apparels & Accessories,Equity,
541418,NAKODA GROUP OF INDUSTRIES LIMITED,NGIL,Nakoda Group of Industries Ltd,Active,M ,10.00,INE236Y01012,Packaged Foods,Equity,
541444,Palm Jewels Limited,PALMJEWELS,Palm Jewels Ltd,Active,B ,10.00,INE838Z01012,Other Apparels & Accessories,Equity,
541445,Waa Solar Limited,WAA,Waa Solar Ltd,Active,M ,10.00,INE799N01012,Other Elect.Equip./ Prod.,Equity,
541450,Adani Green Energy Limited,ADANIGREEN,Adani Green Energy Ltd,Active,T ,10.00,INE364U01010,Heavy Electrical Equipment,Equity,
541503,Unick Fix-A- Form and Printers Limited,UNICK,Unick Fix-A-Form And Printers Ltd,Active,XT,10.00,INE250G01010,Comm.Printing/Stationery,Equity,
541540,SOLARA ACTIVE PHARMA SCIENCES LIMITED,SOLARA,Solara Active Pharma Sciences Ltd,Active,A ,10.00,INE624Z01016,Pharmaceuticals,Equity,
541546,GAYATRI HIGHWAYS LTD,GAYAHWS,Gayatri Highways Ltd,Active,T ,2.00,INE287Z01012,Construction & Engineering,Equity,
541556,RITES Limited,RITES,RITES Ltd,Active,A ,10.00,INE320J01015,Construction & Engineering,Equity,
541557,Fine Organic Industries Limited,FINEORG,Fine Organic Industries Ltd,Active,A ,5.00,INE686Y01026,Specialty Chemicals,Equity,
541578,Varroc Engineering Limited,VARROC,Varroc Engineering Ltd,Active,A ,1.00,INE665L01035,Auto Parts & Equipment,Equity,
541601,Rajnish Wellness Limited,RAJNISH,Rajnish Wellness Ltd,Active,M ,10.00,INE685Z01017,Pharmaceuticals,Equity,
541627,HI-TECH WINDING SYSTEMS LIMITED,HITECHWIND,Hi-Tech Winding Systems Ltd,Active,XT,10.00,INE173V01013,Paper & Paper Products,Equity,
541633,Sophia Traexpo Limited,STRAEXPO,Sophia Traexpo Ltd,Active,XT,10.00,INE268X01017,Paper & Paper Products,Equity,
541634,Raw Edge Industrial Solutions Limited,RAWEDGE,Raw Edge Industrial Solutions Ltd,Active,B ,10.00,INE960Z01014,Construction Materials,Equity,
541672,ICICI Prudential Mutual Fund,IPRU3143,ICICI Prudential Bharat Consumption Fund  - Series 3 - Cumulative Option,Active,B ,10.00,INF109KC1GQ3,-,Equity,
541673,ICICI Prudential Mutual Fund,IPRU3144,ICICI Prudential Bharat Consumption Fund  - Series 3 - Dividend Payout Option,Active,B ,10.00,INF109KC1GR1,-,Equity,
541674,ICICI Prudential Mutual Fund,IPRU9345,ICICI Prudential Bharat Consumption Fund  - Series 3 -  Direct Plan - Cumulative Option,Active,B ,10.00,INF109KC1GS9,-,Equity,
541675,ICICI Prudential Mutual Fund,IPRU9346,ICICI Prudential Bharat Consumption Fund  - Series 3 - Direct Plan - Dividend Payout Option,Active,B ,10.00,INF109KC1GT7,-,Equity,
541700,TCNS Clothing Co. Limited,TCNSBRANDS,TCNS Clothing Co. Ltd,Active,A ,2.00,INE778U01029,Other Apparels & Accessories,Equity,
541701,Supershakti Metaliks Limited,SUPERSHAKT,Supershakti Metaliks Ltd,Active,M ,10.00,INE00SY01011,Iron & Steel Products,Equity,
541702,Ashnisha Industries Limited,ASHNI,Ashnisha Industries Ltd,Active,XT,10.00,INE694W01016,Comm.Trading  & Distribution,Equity,
541703,Ganesh Films India Limited,GFIL,Ganesh Films India Ltd,Active,M ,10.00,INE00WY01013,Specialty Retail,Equity,
541725,IDFC Mutual Fund,IDFCEOS6RG,IDFC Equity Opportunity - Series 6 - Regular Plan - Growth Option,Active,B ,10.00,INF194KA14U2,-,Equity,
541726,IDFC Mutual Fund,IDFCEOS6RD,IDFC Equity Opportunity - Series 6 - Regular Plan - Dividend Payout  Option,Active,B ,10.00,INF194KA15U9,-,Equity,
541727,IDFC Mutual Fund,IDFCEOS6DG,IDFC Equity Opportunity - Series 6 - Direct Plan - Growth Option,Active,B ,10.00,INF194KA17U5,-,Equity,
541728,IDFC Mutual Fund,IDFCEOS6DD,IDFC Equity Opportunity - Series 6 - Direct Plan - Dividend Payout Option,Active,B ,10.00,INF194KA18U3,-,Equity,
541729,HDFC Asset Management Company Limited,HDFCAMC,HDFC Asset Management Company Ltd,Active,A ,5.00,INE127D01025,Asset Management Cos.,Equity,
541735,Vivanta Industries Limited,VIVANTA,Vivanta Industries Ltd,Active,X ,10.00,INE299W01014,Construction & Engineering,Equity,
541741,Tinna Trade Limited,TINNATFL,Tinna Trade Ltd,Active,X ,10.00,INE401Z01019,Comm.Trading  & Distribution,Equity,
541742,Tata Mutual Fund,TVF2D,TATA Value Fund Series  2 - Regular Plan  - Dividend Payout Option,Active,B ,10.00,INF277K014J5,-,Equity,
541743,Tata Mutual Fund,TVF2DZ,TATA Value Fund Series  2 - Direct Plan  - Dividend Payout Option,Active,B ,10.00,INF277K016J0,-,Equity,
541744,Tata Mutual Fund,TVF2G,TATA Value Fund Series  2 - Regular  Plan  - Growth Option,Active,B ,10.00,INF277K013J7,-,Equity,
541745,Tata Mutual Fund,TVF2GZ,TATA Value Fund Series  2 - Direct Plan  - Growth Option,Active,B ,10.00,INF277K015J2,-,Equity,
541770,CreditAccess Grameen Ltd.,CREDITACC,CreditAccess Grameen Ltd,Active,A ,10.00,INE741K01010,Finance (including NBFCs),Equity,
541771,AMIN TANNERY LIMITED,AMINTAN,Amin Tannery Ltd,Active,XT,1.00,INE572Z01017,Other Apparels & Accessories,Equity,
541778,Deep Polymers Limited,DEEP,Deep Polymers Ltd,Active,B ,10.00,INE00IY01012,Specialty Chemicals,Equity,
541799,Sungold Media and Entertainment Limited,SMEL,Sungold Media and Entertainment Ltd,Active,M ,10.00,INE266S01011,Advertising & Media,Equity,
541804,ICICI Prudential Mutual Fund,IPRU3168,ICICI PRU Bharat Consumption Fund - Sr 4 - Cumulative,Active,B ,10.00,INF109KC1IU1,-,Equity,
541805,ICICI Prudential Mutual Fund,IPRU3169,ICICI PRU Bharat Consumption Fund - Sr 4 - Dividend Payout Option,Active,B ,10.00,INF109KC1IV9,-,Equity,
541806,ICICI Prudential Mutual Fund,IPRU9370,ICICI PRU Bharat Consumption Fund - Sr 4 - Direct Plan Cumulative,Active,B ,10.00,INF109KC1IW7,-,Equity,
541807,ICICI Prudential Mutual Fund,IPRU9371,ICICI PRU Bharat Consumption Fund - Sr 4 - Direct Plan Dividend Payout,Active,B ,10.00,INF109KC1IX5,-,Equity,
541809,ICICI Prudential Mutual Fund,ICICINXT50,ICICI Prudential Nifty Next 50 ETF,Active,B ,1.00,INF109KC1NS5,-,Equity,
541865,Add-Shop E-Retail Limited,ASRL,Add-Shop ERetail Ltd,Active,B ,10.00,INE01B501018,Distributors,Equity,
541879,Kotak Mahindra Mutual Fund,KTKIND7RG,Kotak India Growth Fund Series 7 - Regular Plan - Growth Option,Active,B ,10.00,INF174KA1509,-,Equity,
541881,Kotak Mahindra Mutual Fund,KTKIND7RD,Kotak India Growth Fund Series 7 - Regular Plan - Dividend Option,Active,B ,10.00,INF174KA1517,-,Equity,
541882,Kotak Mahindra Mutual Fund,KTKIND7DG,Kotak India Growth Fund Series 7 - Direct Plan - Growth Option,Active,B ,10.00,INF174KA1525,-,Equity,
541884,Kotak Mahindra Mutual Fund,KTKIND7DD,Kotak India Growth Fund Series 7 - Direct Plan - Dividend Option,Active,B ,10.00,INF174KA1533,-,Equity,
541890,Space Incubatrics Technologies Limited,SPACEINCUBA,Space Incubatrics Technologies Ltd,Active,X ,10.00,INE797Z01010,IT Consulting & Software,Equity,
541929,Synergy Green Industries Limited,SGIL,Synergy Green Industries Ltd,Active,M ,10.00,INE00QT01015,Other Industrial Products,Equity,
541945,Ranjeet Mechatronics Limited,RANJEET,Ranjeet Mechatronics Ltd,Active,M ,10.00,INE01A501019,Construction & Engineering,Equity,
541956,IRCON International Ltd,IRCON,IRCON International Ltd,Active,A ,2.00,INE962Y01021,Construction & Engineering,Equity,
541967,SKY GOLD LIMITED,SKYGOLD,Sky Gold Ltd,Active,M ,10.00,INE01IU01018,Other Apparels & Accessories,Equity,
541972,SBI Mutual Fund,SETFSN50,SBI - ETF - SENSEX NEXT 50,Active,B ,10.00,INF200KA1VQ2,-,Equity,
541973,Mac Hotels Limited,MACH,Mac Hotels Ltd,Active,M ,10.00,INE004Z01011,Hotels,Equity,
541974,Manorama Industries Limited,MANORAMA,Manorama Industries Ltd,Active,M ,10.00,INE00VM01010,Other Food Products,Equity,
541983,Innovative Ideals and Services (India) Limited,INNOVATIVE,Innovative Ideals and Services (India) Ltd,Active,M ,10.00,INE492Y01011,Sp.Consumer Services,Equity,
541984,Nippon India Mutual Fund,NIOSAG,NIPPON INDIA MUTUAL FUND  INDIA OPPT FD  SR A RG GWTH31JN22,Active,B ,10.00,INF204KB1I24,-,Equity,
541985,Nippon India Mutual Fund,NIOSAD,NIPPON INDIA MUTUAL FUND  INDIA OPPT FD  SR A RG DVP31JN22,Active,B ,10.00,INF204KB1I32,-,Equity,
541986,Nippon India Mutual Fund,NIOSADG,NIPPON INDIA MUTUAL FUND  INDIA OPPT FD  SR A DR GWTH31JN22,Active,B ,10.00,INF204KB1I40,-,Equity,
541987,Nippon India Mutual Fund,NIOSADD,NIPPON INDIA MUTUAL FUND  INDIA OPPT FD  SR A DR DVP31JN22,Active,B ,10.00,INF204KB1I57,-,Equity,
541988,AAVAS Financiers Limited,AAVAS,AAVAS Financiers Ltd,Active,A ,10.00,INE216P01012,Housing Finance ,Equity,
541999,GENERA AGRI CORP LTD,GENERAAGRI,Genera Agri Corp Ltd,Active,X ,10.00,INE993L01015,Other Agricultural Products,Equity,
542002,DEVOTED CONSTRUCTION LIMITED,DCL,Devoted Construction Ltd,Active,M ,10.00,INE061Z01011,Realty,Equity,
542011,Garden Reach Shipbuilders & Engineers Limited,GRSE,Garden Reach Shipbuilders & Engineers Ltd,Active,A ,10.00,INE382Z01011,Commercial Vehicles,Equity,
542012,A-1 Acid Limited,AAL,A-1 Acid Ltd,Active,M ,10.00,INE911Z01017,Comm.Trading  & Distribution,Equity,
542013,Dolfin Rubbers Limited,DOLFIN,Dolfin Rubbers Ltd,Active,M ,10.00,INE666Y01010,Auto Tyres & Rubber Products,Equity,
542019,Shubham Polyspin Limited,SHUBHAM,Shubham Polyspin Ltd,Active,T ,10.00,INE01J501010,Textiles,Equity,
